latitude,longitude,confidence,frp
-13.9801,130.573,81,48
-14.0032,129.9573,74,33.5
-12.954,135.0368,39,55.3
-13.3642,131.9983,56,23.2
-13.3071,131.9554,69,30.5
-13.0241,132.9584,82,116.4
-13.029,132.9311,74,70.9
-11.4124,130.8343,73,51.2
-11.4017,130.3339,41,12
-11.4338,130.4654,73,50.1
-11.4306,130.4848,88,93.5
-11.4273,130.5045,25,20.1
-11.4844,130.2392,58,20.2
-11.4465,130.4676,64,46.7
-11.4433,130.487,92,127.9
-11.4401,130.5067,68,31.3
-11.4028,130.8109,100,318.8
-11.3993,130.832,100,344.2
-11.5063,130.262,0,48.8
-11.4158,130.8133,73,55.9
-12.7927,133.8679,42,66.8
-12.7842,133.8588,52,53
-12.8384,132.8834,26,23.8
-12.3181,134.9072,37,48.1
-12.319,134.9024,42,53.4
-12.4504,133.0855,99,397.2
-12.4353,133.0819,64,57.9
-12.4329,133.1044,43,51.7
-12.4379,133.0754,84,139.2
-12.5048,131.4945,10,38.7
-12.5449,131.1883,63,20.7
-12.5103,131.4879,64,47.6
-12.4968,131.4855,30,28.7
-12.4307,131.177,82,67.1
-11.7408,131.0691,39,15.3
-11.6877,130.6695,71,27.7
-11.73,130.4163,28,29.5
-11.6749,130.6672,65,22.9
-11.6922,130.4092,37,37.7
-11.6797,130.407,51,55
-11.6671,130.4048,89,89.8
-11.6703,130.3859,91,104.8
-11.6677,130.3996,93,134.3
-11.6582,130.3785,84,64.3
-11.6613,130.3596,89,93
-11.6456,130.3764,49,23.2
-11.6488,130.3576,93,129.5
-11.6519,130.3385,94,136.9
-11.5189,130.2697,42,21.5
-11.4081,130.8389,94,174.7
-11.4117,130.8179,99,263.1
-11.5064,130.2674,48,25
-11.2365,131.8871,0,26.8
-11.4089,130.8551,19,21.2
-34.463,150.8819,58,13.5
-25.0796,148.3843,43,12.3
-20.7398,139.4731,70,15.6
-13.5219,142.6561,30,5.5
-14.3159,143.5057,36,5.8
-14.7895,144.2807,100,120.3
-14.7879,144.2913,100,121.9
-14.7991,144.2823,100,22.3
-14.7974,144.2929,100,53.2
-14.7958,144.3035,100,25
-14.7942,144.3141,100,23.1
-14.8038,144.3157,75,9.9
-14.824,144.3362,19,4.7
-15.3764,142.2424,37,4.6
-15.3774,142.2995,59,6.6
-15.4345,142.7305,31,3.8
-12.5569,141.8909,81,10.1
-13.2537,141.9714,42,10.9
-13.2524,141.9806,17,9.2
-13.287,141.9954,44,5
-13.279,142.4939,20,4.4
-13.2776,142.5033,30,4.6
-13.3153,142.3087,41,4.7
-13.5142,142.6452,62,7
-14.3081,143.4943,38,6.7
-11.4598,130.5282,82,108.7
-13.0233,132.9405,58,25
-13.1158,132.9033,59,28
-11.4605,130.5216,89,126.4
-32.4471,116.163,51,15.6
-16.0666,125.893,30,22.8
-14.233,130.727,68,25.9
-14.2292,130.7049,94,53.3
-13.1196,132.922,63,14.7
-13.117,132.9063,39,9.6
-13.0525,132.9231,27,8.7
-13.0117,132.9653,57,13.1
-12.977,132.9714,65,15.4
-12.9743,132.9554,43,10.2
-11.4235,130.4807,50,25.6
-11.421,130.4861,61,32
-15.7602,137.0482,24,5.7
-15.7712,136.9987,100,26.4
-14.6203,130.6227,49,31.1
-14.6378,130.6431,22,21.5
-14.2859,130.7349,40,16.4
-14.2282,130.723,81,36.9
-14.2242,130.7007,77,33.1
